reservation_id,guest_id,room_id,check_in,check_out,adults,children,total_amount,status,payment_status,Service_Charges
3001,1001,2001,2023-11-01,2023-11-05,2,0,480.00,Checked-out,Paid,160.00
3002,1002,2003,2023-11-02,2023-11-07,2,1,900.00,Checked-out,Paid,50.00
3003,1003,2005,2023-11-03,2023-11-06,2,2,750.00,Checked-out,Paid,225.00
3004,1004,2007,2023-11-05,2023-11-10,2,0,1750.00,Checked-out,Paid,150.00
3005,1005,2009,2023-11-10,2023-11-15,4,0,2500.00,Confirmed,"Partially Paid",50.00
3006,1006,2011,2023-11-12,2023-11-14,1,0,240.00,Confirmed,Pending,30.00
3007,1007,2013,2023-11-15,2023-11-20,2,1,900.00,Confirmed,Pending,50.00
3008,1008,2015,2023-11-18,2023-11-22,2,2,1000.00,Confirmed,Paid,40.00
3009,1009,2002,2023-11-20,2023-11-25,2,0,600.00,Confirmed,Pending,45.00
3010,1010,2004,2023-11-22,2023-11-27,2,1,900.00,Confirmed,Paid,NULL
